Species,Mg,TC,MRo2,Watts,ref,
Siren lacertina ,269,25,3.0397,0.016971658,[255] ,
Siren lacertina ,1182,25,32.174,0.179638167,[255] ,
Siren lacertina ,36,25,1.2679,0.007079108,[255] ,
Bufo alvaris ,150.8,15,11.868,0.066263,[255] ,
Bufo americanus ,25.2,5,0.6081,0.003395225,[255] ,
Bufo americanus ,19,15,2.0934,0.01168815,[255] ,
Bufo americanus ,27,20,1.377,0.00768825,[255] ,
Bufo americanus ,50,20,1.39,0.007760833,[255] ,
Bufo americanus ,27.03,20,1.38,0.007705,[255] ,
Bufo americanus ,27,20,1.377,0.00768825,[255] ,
Bufo americanus ,11,21.5,1.2815,0.007155042,[255] ,
Bufo americanus ,0.102,23,0.0247,0.000137908,[255] ,
Bufo americanus ,40.4,25,2.9371,0.016398808,[255] ,
Bufo americanus ,21.1,25,2.5873,0.014445758,[255] ,
Bufo boreas ,72.7,5,4.0908,0.0228403,[255] ,
Bufo boreas ,40.2,10,0.5548,0.003097633,[255] ,
Bufo boreas ,47.3,10,0.6244,0.003486233,[255] ,
Bufo boreas ,57.8,10,0.7283,0.004066342,[255] ,
Bufo boreas ,46.4,14,4.9648,0.027720133,[255] ,
Bufo boreas ,29.5,14,4.484,0.025035667,[255] ,
Bufo boreas ,28.7,15,3.8706,0.02161085,[255] ,
Bufo boreas ,40.2,20,1.3025,0.007272292,[255] ,
Bufo boreas ,47.3,20,2.3177,0.012940492,[255] ,
Bufo boreas ,57.8,20,1.052,0.005873667,[255] ,
Bufo boreas ,2.5,20,0.25,0.001395833,[255] ,
Bufo boreas ,27.3,25,2.64,0.01474,[255] ,
Bufo boreas ,53.8,25,5.5812,0.0311617,[255] ,
Bufo boreas ,40.2,30,3.0512,0.017035867,[255] ,
Bufo boreas ,47.3,30,2.4265,0.013547958,[255] ,
Bufo boreas ,57.8,30,6.4852,0.036209033,[255] ,
Bufo bufo ,28.59,6,2.037,0.01137325,[255] ,
Bufo bufo ,76.13,6,1.7415,0.009723375,[255] ,
Bufo bufo ,28.59,15,4.8389,0.027017192,[255] ,
Bufo bufo ,76.13,15,2.8549,0.015939858,[255] ,
Bufo bufo ,43,17,4.8246,0.02693735,[255] ,
Bufo bufo ,29,20,4.901,0.027363917,[255] ,
Bufo bufo ,29,20,3.915,0.02185875,[255] ,
Bufo bufo ,28.59,25,4.5851,0.025600142,[255] ,
Bufo bufo ,76.13,25,9.64,0.053823333,[255] ,
Bufo calamita ,8.67,20,0.511,0.002853083,[255] ,
Bufo calamita ,8.7,20,0.5046,0.00281735,[255] ,
Bufo cognatus ,45.2,5,1.2792,0.0071422,[255] ,
Bufo cognatus ,39.58,10,1.979,0.011049417,[255] ,
Bufo cognatus ,50.5,15,3.8481,0.021485225,[255] ,
Bufo cognatus ,39.58,20,4.4725,0.024971458,[255] ,
Bufo cognatus ,40.2,25,2.9587,0.016519408,[255] ,
Bufo cognatus ,39.58,30,7.2036,0.0402201,[255] ,
Bufo debilus ,0.66,15,0.0845,0.000471792,[255] ,
Bufo marinus ,101,15,2.2877,0.012772992,[255] ,
Bufo marinus ,145,15,1.5515,0.008662542,[255] ,
Bufo marinus ,123.8,15,4.6276,0.025837433,[255] ,
Bufo marinus ,1200,18.5,33.15,0.1850875,[255] ,
Bufo marinus ,101,20,2.6088,0.0145658,[255] ,
Bufo marinus ,156,20,3.042,0.0169845,[255] ,
Bufo marinus ,152.5,22,7.32,0.04087,[255] ,
Bufo marinus ,252,22,11.088,0.061908,[255] ,
